normalized	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
Cluster_137	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_138	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_139	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_14	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_140				inf	inf	inf	inf	inf	inf
Cluster_141	inf	inf	inf						
Cluster_142	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_143	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_145	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_146	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_147	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_148	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_149	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_15	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_150	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_151	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_152	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_153	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_154	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_155	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_156				inf	inf	inf			
Cluster_157	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_16	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_17	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	5.0
Cluster_18	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25
Cluster_19	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Cluster_2	1.0	1.0	1.0	0.25	0.25	0.25	0.0	0.0	0.0
Cluster_20	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_21	2.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_22	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_23	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_24				inf	inf	inf			
Cluster_25	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_26	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_27	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0
Cluster_28	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_29	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_3	4.0	4.0	4.0	0.0	0.0	0.0	0.67	0.67	0.67
Cluster_30	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_31	0.0	0.0	0.0	0.25	0.25	0.25	0.0	0.0	0.0
Cluster_32	0.0	0.0	0.0	0.25	0.25	0.25	0.0	0.0	0.0
Cluster_33	inf	inf	inf						
Cluster_34	inf	inf	inf						
Cluster_35				inf	inf	inf			
Cluster_36	inf	inf	inf						
Cluster_37				inf	inf	inf			
Cluster_38	inf	inf	inf						
Cluster_39	inf	inf	inf						
Cluster_4	12.5	12.5	12.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_40				inf	inf	inf			
Cluster_41	0.0	0.0	0.0	0.33	0.33	0.33	0.0	0.0	0.0
Cluster_42	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_43	inf	inf	inf						
Cluster_44							inf	inf	inf
Cluster_45	3.0	3.0	3.0	0.5	0.5	0.5	0.5	0.5	0.5
Cluster_46	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_47	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.33	0.33
Cluster_48	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_49	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_5				inf	inf	inf			
Cluster_50	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_51	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_52	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_53	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_54				inf	inf	inf	inf	inf	inf
Cluster_55	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.33	0.33
Cluster_56	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.33	0.33
Cluster_57	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.33	0.33
Cluster_59	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0
Cluster_6	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_60	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_61	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_62				inf	inf	inf			
Cluster_63	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_64	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_65	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_66	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_67	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_68	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_69	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_7	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_70				inf	inf	inf			
Cluster_72	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25
Cluster_73	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_75	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_76	1.0	1.0	1.0	0.0	0.0	0.0	29.0	29.0	29.0
Cluster_77	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.12	0.12
Cluster_78	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_79	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_8	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_80	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_81	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_82	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Cluster_83	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_85	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_86	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_87	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_88	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_89	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_9	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_90	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_91	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_92	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_93	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_95	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_96	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_97	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_98	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_99				inf	inf	inf			
